"","date","mean_Temp","mean_Precipi","mean_Wind","mean_Snow","median_Temp","median_Precipi","median_Wind","median_Snow","max_Temp","max_Precipi","max_Wind","max_Snow"
"227","20170815",22.125,4.06521739130435,3.60416666666667,NA,21.95,2,3.7,NA,24,NA,4.7,NA
"228","20170816",23.1333333333333,0.2,3.725,NA,23.2,0,3.65,NA,26.6,NA,4.9,NA
"229","20170817",24.4875,0.0833333333333333,2.09166666666667,NA,25.2,0,2.35,NA,27.5,NA,3.9,NA
"230","20170818",26.3041666666667,0,1.29166666666667,NA,25.3,0,1.35,NA,30.5,NA,3.2,NA
"231","20170819",25.9875,0,2.01666666666667,NA,26.3,0,2.1,NA,28.7,NA,3,NA
"232","20170820",23.3125,5.14583333333333,2.85833333333333,NA,23.6,3,3.25,NA,25.8,21,4.1,NA
"233","20170821",25.6916666666667,0.75,2.37916666666667,NA,25.7,0.65,2.15,NA,29,NA,5.3,NA
"234","20170822",27.1083333333333,NA,2.01666666666667,NA,26.8,NA,2.2,NA,31.3,NA,3.3,NA
"235","20170823",26.9291666666667,2.25,2.675,NA,27.2,0.5,1.7,NA,30.2,NA,5.9,NA
"236","20170824",26.7083333333333,0.875,3.96666666666667,NA,27,0.25,4.1,NA,28,NA,7.4,NA
"237","20170825",25.4916666666667,NA,1.7625,NA,24.25,NA,1.35,NA,30.2,NA,4.3,NA
"238","20170826",24.1791666666667,NA,1.96666666666667,NA,23.9,NA,1.95,NA,28.9,NA,4.1,NA
"239","20170827",22.5958333333333,0,1.45416666666667,NA,22.65,0,1.45,NA,26.5,NA,2.4,NA
"240","20170828",21.9208333333333,1.28571428571429,1.5375,NA,21.3,0.3,1.3,NA,26.4,NA,4.4,NA
"241","20170829",19.6291666666667,NA,3.37083333333333,NA,18.8,NA,3.3,NA,23.7,NA,5.3,NA
"242","20170830",19.5375,NA,1.52916666666667,NA,20.15,NA,1.2,NA,23.4,NA,3.5,NA
"243","20170831",22.0375,NA,1.5625,NA,22.1,NA,1.3,NA,27.3,NA,4,NA
"244","20170901",23.1708333333333,NA,2.1375,NA,22.95,NA,2.05,NA,29.4,NA,3.9,NA
"245","20170902",23.6375,NA,1.86666666666667,NA,23.4,NA,1.9,NA,29.2,NA,3.5,NA
"246","20170903",23.8125,NA,1.64583333333333,NA,23.65,NA,1.75,NA,28.9,NA,2.8,NA
"247","20170904",24.4708333333333,NA,1.6,NA,24.15,NA,1.6,NA,30.1,NA,3,NA
