"","date","dust_avg","fine_avg","dust_grade","fine_grade","IsDustyDay"
"584",20181002,27,13,2,2,0
"585",20181003,27,15,2,2,0
"586",20181004,23,13,2,2,0
"587",20181005,11,6,1,1,0
"588",20181006,7,3,1,1,0
"589",20181007,28,11,2,2,0
"590",20181008,24,8,2,1,0
"591",20181009,26,11,2,2,0
"592",20181010,19,10,2,2,0
"593",20181011,18,8,2,1,0
"594",20181012,25,13,2,2,0
"595",20181013,33,19,3,3,0
"596",20181014,34,21,3,4,0
"597",20181015,62,36,5,5,1
"598",20181016,54,28,5,5,1
"599",20181017,36,17,3,3,0
"600",20181018,17,8,2,1,0
"601",20181019,20,9.5,2,2,0
"602",20181020,41,20,4,3,0
"603",20181021,39,23,3,4,0
"604",20181022,50,33,4,5,1
"605",20181023,53,32,5,5,1
"606",20181024,42,18,4,3,0
"607",20181025,40,20,3,3,0
"608",20181026,35.5,20,3,3,0
"609",20181027,27,6,2,1,0
"610",20181028,15,8,1,1,0
"611",20181029,18,8,2,1,0
"612",20181030,22,11,2,2,0
"613",20181031,22,12,2,2,0
"614",20181101,35,20,3,3,0
"615",20181102,43,25,4,4,0
"616",20181103,54,35,5,5,1
"617",20181104,46.5,31,4,5,1
"618",20181105,60,39,5,6,1
"619",20181106,103,70,7,7,1
"620",20181107,65,46,5,6,1
"621",20181108,10,6,1,1,0
"622",20181109,40,24,3,4,0
"623",20181110,70,45,5,6,1
"624",20181111,68,43,5,6,1
"625",20181112,32.5,17,3,3,0
"626",20181113,42,25,4,4,0
"627",20181114,36.5,22.5,3,4,0
"628",20181115,49.5,33.5,4,5,1
"629",20181116,57.5,40,5,6,1
"630",20181117,32.5,19,3,3,0
"631",20181118,37,22,3,4,0
"632",20181119,56,33,5,5,1
"633",20181120,46,18.5,4,3,0
"634",20181121,33.5,17,3,3,0
"635",20181122,22,10,2,2,0
"636",20181123,23,12,2,2,0
"637",20181124,23,14,2,2,0
"638",20181125,46,34,4,5,1
"639",20181126,63,43,5,6,1
"640",20181127,116,52,7,7,1
"641",20181128,124,23,7,4,1
"642",20181129,78,21,6,4,1
"643",20181130,64,22,5,4,1
"644",20181201,45,22,4,4,0
"645",20181202,48,23,4,4,0
"646",20181203,43,22,4,4,0
"647",20181204,35,16,3,3,0
"648",20181205,28,12,2,2,0
