"","date","dist","m20","m25","m30","m35","m40","m45","m50","m55","f20","f25","f30","f35","f40","f45","f50","f55"
"1763","20180211",1109071040006,62,-107.384557495485,-355.020874300408,-310.733443708609,-205.890728476821,-86.1937086092715,-276.218543046358,-114.230514096186,-179,-309,-165,-20,-65,44,42,47
"1764","20180211",1111066030001,511.5,177.429560505719,-193.007375075256,-294.503612281758,-449.957104154124,-229.608669476219,-174.673389524383,-246.067429259482,432.5,-140,-346,-376,-298,146,-46,20
"1765","20180211",1113075030009,-262,-494.046207104154,41.1479530403371,-194.298765803733,-154.520770620108,-183.176550270921,-224.593502135448,-25.2373570138471,-528,65,123.5,20.5,-343.5,-273,-291,-227
"1766","20180211",1115051010002,NA,-199.072268907563,-405.42700729927,NA,125.316225165563,-120.560706401766,137.475165562914,175.533112582781,NA,NA,-298,-78,81,-14,337.5,354
"1767","20180211",1117051030002,-52,-184.660753880266,-473.771207053816,-339.850391330524,-280.467084639498,-279.488511488512,-176.094265734266,-154.105169340464,-159,-451,-320,-742,-202,-137,29,-8
"1768","20180211",1119074050006,-136,-358.378537025888,-541.529199277544,-593.912101143889,-434.266255267911,-593.244280553883,-358.719747140277,-367.009030704395,-1,4,-150,-200,-153,-124,-142,-241
"1769","20180211",1121052010001,331,-213.156133828996,-337.461453440177,-493.140631163708,-344.151063829787,-322.336768802228,172.67676056338,17.1883954154728,-236,-482,-163,-173,-106,-45,11,-114
"1770","20180211",1122060020102,111,-14.6450933172787,-214.49909692956,-336.385761589404,-398.804635761589,-440.685279951836,-235.165111378688,-140.516556291391,58,56,-52,-205,-198,-144,-77,-98.5
"1771","20180211",1123051010203,-88,-237.427727784027,-466.356313131313,-409.0166625827,-444.422653256705,-28.1028192371476,-54.9316666666667,-121.890066225166,-351,-469.5,-444.5,-367,236,204,-169,-126.5
"1772","20180211",1123058040001,-7,-221.832480433474,-265.693859121011,-211.777543648405,-200.467940999398,-131.596779048766,-89.2956050571945,0.285821794099945,-82,-391,-134,-38,-71,29,-11,133
"1773","20180211",1123063020012,117,399.204635761589,132.983443708609,-38.6348155156102,67.1487701040681,-96.901766004415,121.428098391675,109.850331125828,-94,367,318,327,-159.5,-177,-110,366
