"","date","time","gungu","whole_pop"
"439",20190303,16,"서대문구",243280
"440",20190303,16,"서초구",402360
"441",20190303,16,"성동구",231600
"442",20190303,16,"성북구",316130
"443",20190303,16,"송파구",519250
"444",20190303,16,"양천구",317250
"445",20190303,16,"영등포구",377290
"446",20190303,16,"용산구",222310
"447",20190303,16,"은평구",325180
"448",20190303,16,"종로구",223940
"449",20190303,16,"중구",193520
"450",20190303,16,"중랑구",289350
"451",20190303,18,"강남구",491060
"452",20190303,18,"강동구",327670
"453",20190303,18,"강북구",247880
"454",20190303,18,"강서구",441000
"455",20190303,18,"관악구",402510
"456",20190303,18,"광진구",300020
"457",20190303,18,"구로구",348310
"458",20190303,18,"금천구",203260
"459",20190303,18,"노원구",413830
"460",20190303,18,"도봉구",241660
"461",20190303,18,"동대문구",289670
"462",20190303,18,"동작구",310030
"463",20190303,18,"마포구",343010
"464",20190303,18,"서대문구",249400
"465",20190303,18,"서초구",384310
"466",20190303,18,"성동구",236320
"467",20190303,18,"성북구",330890
"468",20190303,18,"송파구",521530
"469",20190303,18,"양천구",331670
"470",20190303,18,"영등포구",361700
"471",20190303,18,"용산구",213530
"472",20190303,18,"은평구",339670
"473",20190303,18,"종로구",193220
"474",20190303,18,"중구",167760
"475",20190303,18,"중랑구",303160
"476",20190303,19,"강남구",479910
"477",20190303,19,"강동구",333840
"478",20190303,19,"강북구",251850
"479",20190303,19,"강서구",443340
"480",20190303,19,"관악구",410360
"481",20190303,19,"광진구",301270
"482",20190303,19,"구로구",350920
"483",20190303,19,"금천구",202950
"484",20190303,19,"노원구",420240
"485",20190303,19,"도봉구",247030
"486",20190303,19,"동대문구",289220
"487",20190303,19,"동작구",317910
"488",20190303,19,"마포구",342100
"489",20190303,19,"서대문구",251960
"490",20190303,19,"서초구",374430
"491",20190303,19,"성동구",238020
"492",20190303,19,"성북구",336710
"493",20190303,19,"송파구",519920
"494",20190303,19,"양천구",337720
"495",20190303,19,"영등포구",357980
"496",20190303,19,"용산구",210760
"497",20190303,19,"은평구",347390
"498",20190303,19,"종로구",179420
"499",20190303,19,"중구",155610
"500",20190303,19,"중랑구",308720
"501",20190303,20,"강남구",467270
"502",20190303,20,"강동구",336920
"503",20190303,20,"강북구",254580
"504",20190303,20,"강서구",445810
"505",20190303,20,"관악구",418010
"506",20190303,20,"광진구",303250
"507",20190303,20,"구로구",356180
"508",20190303,20,"금천구",204100
"509",20190303,20,"노원구",424280
"510",20190303,20,"도봉구",252780
"511",20190303,20,"동대문구",292190
"512",20190303,20,"동작구",324640
"513",20190303,20,"마포구",337800
"514",20190303,20,"서대문구",253060
"515",20190303,20,"서초구",365070
"516",20190303,20,"성동구",241320
"517",20190303,20,"성북구",343470
"518",20190303,20,"송파구",514650
"519",20190303,20,"양천구",343280
"520",20190303,20,"영등포구",350240
"521",20190303,20,"용산구",205260
"522",20190303,20,"은평구",354810
"523",20190303,20,"종로구",165710
"524",20190303,20,"중구",144740
"525",20190303,20,"중랑구",313360
"526",20190309,10,"강남구",588460
"527",20190309,10,"강동구",317800
"528",20190309,10,"강북구",226970
"529",20190309,10,"강서구",434540
"530",20190309,10,"관악구",384730
"531",20190309,10,"광진구",287470
"532",20190309,10,"구로구",339440
"533",20190309,10,"금천구",202110
"534",20190309,10,"노원구",391120
"535",20190309,10,"도봉구",228480
"536",20190309,10,"동대문구",292440
"537",20190309,10,"동작구",320860
"538",20190309,10,"마포구",326720
"539",20190309,10,"서대문구",250600
"540",20190309,10,"서초구",433000
"541",20190309,10,"성동구",246380
"542",20190309,10,"성북구",323770
"543",20190309,10,"송파구",504420
"544",20190309,10,"양천구",317980
"545",20190309,10,"영등포구",371290
"546",20190309,10,"용산구",210250
"547",20190309,10,"은평구",322620
"548",20190309,10,"종로구",225980
"549",20190309,10,"중구",221720
"550",20190309,10,"중랑구",282100
"551",20190309,11,"강남구",616270
"552",20190309,11,"강동구",312970
"553",20190309,11,"강북구",222910
"554",20190309,11,"강서구",429170
"555",20190309,11,"관악구",376110
"556",20190309,11,"광진구",288880
"557",20190309,11,"구로구",339830
"558",20190309,11,"금천구",202620
"559",20190309,11,"노원구",383640
"560",20190309,11,"도봉구",223030
"561",20190309,11,"동대문구",292690
"562",20190309,11,"동작구",313240
"563",20190309,11,"마포구",333480
"564",20190309,11,"서대문구",248980
"565",20190309,11,"서초구",456960
"566",20190309,11,"성동구",246310
"567",20190309,11,"성북구",315350
"568",20190309,11,"송파구",508100
"569",20190309,11,"양천구",308780
"570",20190309,11,"영등포구",382880
"571",20190309,11,"용산구",217840
"572",20190309,11,"은평구",311480
"573",20190309,11,"종로구",251150
"574",20190309,11,"중구",252390
"575",20190309,11,"중랑구",274640
"576",20190309,12,"강남구",635700
"577",20190309,12,"강동구",308240
"578",20190309,12,"강북구",219700
"579",20190309,12,"강서구",421960
"580",20190309,12,"관악구",370570
"581",20190309,12,"광진구",293130
"582",20190309,12,"구로구",338800
"583",20190309,12,"금천구",199170
"584",20190309,12,"노원구",376850
"585",20190309,12,"도봉구",217670
"586",20190309,12,"동대문구",291120
"587",20190309,12,"동작구",303960
"588",20190309,12,"마포구",343540
"589",20190309,12,"서대문구",248230
"590",20190309,12,"서초구",469760
"591",20190309,12,"성동구",244610
"592",20190309,12,"성북구",308870
"593",20190309,12,"송파구",512690
"594",20190309,12,"양천구",304760
"595",20190309,12,"영등포구",389260
"596",20190309,12,"용산구",226290
"597",20190309,12,"은평구",304270
"598",20190309,12,"종로구",276060
"599",20190309,12,"중구",277190
"600",20190309,12,"중랑구",271250
"601",20190309,13,"강남구",648090
"602",20190309,13,"강동구",304420
"603",20190309,13,"강북구",217120
"604",20190309,13,"강서구",418830
"605",20190309,13,"관악구",365980
"606",20190309,13,"광진구",294250
"607",20190309,13,"구로구",334580
"608",20190309,13,"금천구",199920
"609",20190309,13,"노원구",372560
"610",20190309,13,"도봉구",214500
"611",20190309,13,"동대문구",291210
"612",20190309,13,"동작구",299760
"613",20190309,13,"마포구",351010
