2019년 집계구코드,도로명 주소
1102068020603 ,서울특별시 중구 만리재로 175
1102068020604 ,서울특별시 중구 만리재로 175
1102068020605 ,서울특별시 중구 만리재로 175
1102068020701 ,서울특별시 중구 만리재로 177
1102069010001 ,서울특별시 중구 다산로 290
1102069010002 ,서울특별시 중구 퇴계로 409
1102069010201 ,서울특별시 중구 다산로 274
1102069010401 ,서울특별시 중구 다산로46길 17
1102069020001 ,서울특별시 중구 퇴계로73길 51
1102069030001 ,서울특별시 중구 청구로14길 39
1102069030002 ,서울특별시 중구 다산로 221-1
1102069030003 ,서울특별시 중구 다산로33라길 24-8
1102069030004 ,서울특별시 중구 다산로33길 79-10
1102069030005 ,서울특별시 중구 다산로33다길 39
1102069030006 ,서울특별시 중구 청구로14길 9
1102069030007 ,서울특별시 중구 퇴계로74길 21-5
1102069030008 ,서울특별시 중구 다산로31길 64
1102069030009 ,서울특별시 중구 다산로33길 47
1102069030010 ,서울특별시 중구 다산로29길 52
1102069030011 ,서울특별시 중구 청구로10길 22-4
1102070010001 ,서울특별시 중구 다산로19길 50
1102070010002 ,서울특별시 중구 다산로25길 6
1102070010003 ,서울특별시 중구 다산로21길 24
1102070010004 ,서울특별시 중구 청구로17길 40
1102070010005 ,서울특별시 중구 청구로21길 8
1102070010006 ,서울특별시 중구 청구로21길 53-7
1102070010007 ,서울특별시 중구 동호로20길 34-45
1102070010008 ,서울특별시 중구 동호로14길 32
1102070010009 ,서울특별시 중구 다산로21길 27-14
1102070010010 ,서울특별시 중구 동호로14길 11-2
1102070020001 ,서울특별시 중구 동호로17길 57-7
1102070020002 ,서울특별시 중구 동호로11마길 41
1102070020003 ,서울특별시 중구 동호로15길 91-12
1102070020004 ,서울특별시 중구 동호로17길 229
1102070020005 ,서울특별시 중구 동호로11길 102
1102070020006 ,서울특별시 중구 동호로17길 252-15
1102070020007 ,서울특별시 중구 다산로 122
1102070020008 ,서울특별시 중구 동호로11차길 1
1102070020009 ,서울특별시 중구 동호로17다길 2-13
1102070020010 ,서울특별시 중구 동호로11다길 12
1102070020011 ,서울특별시 중구 동호로15길 93
1102070020012 ,서울특별시 중구 동호로11라길 13
1102070020013 ,서울특별시 중구 동호로11마길 20-8
1102070020014 ,서울특별시 중구 동호로15길 123-10
1102070020015 ,서울특별시 중구 동호로17나길 11-12
1102070020016 ,서울특별시 중구 다산로 55-1
1102070020017 ,서울특별시 중구 다산로5길 16-10
1102070020018 ,서울특별시 중구 동호로15길 13
1102070020019 ,서울특별시 중구 동호로11아길 23-6
1102070020020 ,서울특별시 중구 동호로11아길 28-6
1102071010001 ,서울특별시 중구 동호로8가길 17-1
1102071010002 ,서울특별시 중구 동호로8길 14
1102071010003 ,서울특별시 중구 동호로8길 50
1102071010004 ,서울특별시 중구 동호로8라길 8-5
1102071010005 ,서울특별시 중구 동호로8나길 42-3
1102071020001 ,서울특별시 중구 다산로8길 38-7
1102071020002 ,서울특별시 중구 다산로6길 7-13
1102071020003 ,서울특별시 중구 동호로 170
1102071020101 ,서울특별시 중구 다산로 32
1102071020102 ,서울특별시 중구 다산로 32
1102071020103 ,서울특별시 중구 다산로 32
1102071020104 ,서울특별시 중구 다산로 32
1102071020105 ,서울특별시 중구 다산로 32
1102071020106 ,서울특별시 중구 다산로 32
1102071020107 ,서울특별시 중구 다산로 32
1102071020108 ,서울특별시 중구 다산로 32
1102071020109 ,서울특별시 중구 다산로 32
1102071020110 ,서울특별시 중구 다산로 32
1102071020111 ,서울특별시 중구 다산로 32
1102071020112 ,서울특별시 중구 다산로 32
1102071020113 ,서울특별시 중구 다산로 32
1102071020114 ,서울특별시 중구 다산로 32
1102071020115 ,서울특별시 중구 다산로 32
1102071020116 ,서울특별시 성동구 동호로5길 131
1102071020117 ,서울특별시 중구 다산로 32
1102071020118 ,서울특별시 중구 다산로 32
1102071020119 ,서울특별시 중구 다산로 32
1102071020120 ,서울특별시 중구 다산로 32
1102071020121 ,서울특별시 중구 다산로 32
1102071020122 ,서울특별시 중구 다산로 32
1102071020123 ,서울특별시 중구 다산로 32
1102071020301 ,서울특별시 중구 다산로 56
1102072010001 ,서울특별시 중구 다산로12길 11-6
1102072010002 ,서울특별시 중구 다산로24길 48
1102072010003 ,서울특별시 중구 동호로10길 71
1102072010004 ,서울특별시 중구 다산로24길 18
1102072010005 ,서울특별시 중구 청구로3나길 7-16
1102072010006 ,서울특별시 중구 청구로3길 80
1102072010007 ,서울특별시 중구 다산로 170
1102072010008 ,서울특별시 중구 청구로3길 9
1102072010009 ,서울특별시 중구 청구로1길 72
1102072010010 ,서울특별시 중구 다산로24길 91
1102072010101 ,서울특별시 중구 다산로12길 33
1102072010102 ,서울특별시 중구 동호로10길 30
1102072010103 ,서울특별시 중구 동호로10길 30
1102072010104 ,서울특별시 중구 동호로10길 30
1102072010105 ,서울특별시 중구 동호로10길 30
1102072010106 ,서울특별시 중구 동호로10길 30
1102072010107 ,서울특별시 중구 동호로10길 30
1102072010108 ,서울특별시 중구 동호로10길 30
1102072010109 ,서울특별시 중구 동호로10길 30
1102072010110 ,서울특별시 중구 동호로10길 30
1102072010111 ,서울특별시 중구 동호로10길 30
1102072010112 ,서울특별시 중구 동호로10길 30
1102072010301 ,서울특별시 중구 청구로1길 23
1102072010302 ,서울특별시 중구 청구로1길 23
1102072010303 ,서울특별시 중구 청구로1길 23
1102072010304 ,서울특별시 중구 청구로 9
1102072010305 ,서울특별시 중구 청구로1길 23
1102072010306 ,서울특별시 중구 청구로1길 23
1102072010307 ,서울특별시 중구 청구로1길 23
1102073010001 ,서울특별시 중구 퇴계로80길 50-6
